鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
士林區,房地(土地+建物),臺北市士林區格致路２０巷１號四樓之１２,5.3,商,,,1120801,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0901004,23.61,0,0,0,無,有,3900000,165184,,0.0,0,陽台外推；夾層；,RPOOMLOJQHIGFEA87EA,14.0,0.0,1.82,有,0001
中正區,房地(土地+建物),臺北市中正區博愛路２５號十樓之２２,0.0,商,,,1120804,土地2建物1車位0,十層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0661230,0.02,1,0,1,有,有,5589,0,,0.0,0,,RPTPMLPJJHIGFBA57EA,0.0,0.0,0.0,有,
大安區,房地(土地+建物),臺北市大安區仁愛路四段１１２巷１１號,4.45,商,,,1120801,土地12建物1車位0,一層，三層，四層，五層，六層，陽台，屋頂突出物，地下層,六層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0650225,32.57,0,0,0,無,有,6000000,184219,,0.0,0,醫院產權及權利買賣，增值稅由買方負擔。,RPTNMLRJQHIGFFA58DA,32.57,0.0,0.0,有,0002
大同區,土地,橋北段三小段346地號,1.38,住,,,1120809,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,243570,176500,,0.0,0,交易標的上未登記建物，占有權源及產權不明，由權利人自行查明。未登記建物；,RPVOMLRJQHIGFBA48DA,0.0,0.0,0.0,無,0003
信義區,房地(土地+建物),臺北市信義區松隆路１０９號四樓,22.23,住,,,1120803,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731102,87.56,3,1,1,有,無,15700000,179306,,0.0,0,,RPWNMLOJQHIGFDA38DA,69.86,2.36,7.22,無,
松山區,土地,敦化段一小段262地號,46.76,住,,,1120803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,43850000,937767,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；具重建或重劃、都更等效益；,RPPPMLRJQHIGFDA18DA,0.0,0.0,0.0,無,0004
松山區,房地(土地+建物),臺北市松山區富錦街４２１號六樓之１,20.59,都市：其他:住宅用地(民生社區特定專用區)。,,,1120802,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701230,105.56,3,1,2,有,有,26500000,251042,,0.0,0,,RPPNMLMJQHIGFDA47DA,78.6,0.0,11.96,有,
內湖區,建物,臺北市內湖區新明路３７０號二樓,0.0,,,,1120804,土地0建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0420422,42.75,1,1,1,有,無,2440000,57076,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLOJQHIGFCA57DA,42.75,0.0,0.0,無,
大安區,車位,臺北市大安區光復南路２９０巷２８號地下一層,0.14,住,,,1120801,土地1建物1車位1,地下一層,十四層,其他,一般零售業,鋼骨鋼筋混凝土造,1010613,19.65,0,0,0,無,有,2900000,,坡道平面,19.65,2900000,僅車位交易；,RPPNMLTJQHIGFFA48EA,0.0,0.0,0.0,有,0005
南港區,土地,南港段一小段956地號,3.56,工,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1037000,291292,,0.0,0,,RPPNMLNKPHIGFDA67EA,0.0,0.0,0.0,無,0006
南港區,土地,玉成段二小段250-10地號,44.33,工,,,1120803,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16763500,378152,,0.0,0,,RPOQMLPKOHIGFDA97EA,0.0,0.0,0.0,無,0007
北投區,房地(土地+建物),臺北市北投區中和街４０號六樓之３９,4.61,都市：其他:特定觀光商業專用區。,,,1120804,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690821,33.39,1,1,1,有,有,4200000,125786,,0.0,0,,RPVNMLKKQHIGFEA18EA,23.31,0.0,3.0,有,
士林區,土地,富安段一小段100-1地號,70.91,住,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5362750,75628,,0.0,0,,RPPNMLRJQHIGFEA08DA,0.0,0.0,0.0,無,
文山區,土地,萬隆段二小段54地號,26.81,都市：其他:道路用地(公共設施用地)。62/10/24,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1139221,42492,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPPNMLSLPHIGFAA87DA,0.0,0.0,0.0,無,0008
松山區,車位,臺北市松山區南京東路四段２３號,0.11,商,,,1120804,土地2建物1車位1,一層,十五層,其他,住家用,鋼筋混凝土造,0971205,1.54,0,0,0,無,有,900000,,塔式車位,0.0,900000,僅車位交易；,RPWPMLPKOHIGFDA68EA,0.0,0.0,0.0,有,0009
萬華區,土地,莒光段一小段463地號,8.0,住,,,1120806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1900000,237500,,0.0,0,未登記建物；,RPTOMLQJQHIGFBA18DA,0.0,0.0,0.0,無,
大安區,土地,仁愛段三小段102地號,244.0,都市：其他:道路用地(公共設施用地)。61/3/27,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,26846344,110026,,0.0,0,包含公共設施保留地用地；,RPTNMLKKQHIGFFA08EA,0.0,0.0,0.0,無,
北投區,土地,秀山段一小段725地號,0.03,都市：其他:道路用地(公共設施用地)。66/12/27,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,734,0,,0.0,0,包含公共設施保留地用地；,RPUNMLKKQHIGFEA08EA,0.0,0.0,0.0,無,
大同區,車位,臺北市大同區民權西路２３４至２４０號房屋地下層,0.0,,,,1120804,土地0建物1車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,0771108,22.740000000000002,0,0,0,無,有,1120000,,升降平面,0.0,1120000,僅車位交易；,RPPNMLLKQHIGFBA37EA,0.0,0.0,0.0,有,0010
士林區,土地,百齡段六小段19地號,16.0,都市：其他:道路用地(公共設施用地)。,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1382400,86400,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPSNMLSLPHIGFEA58DA,0.0,0.0,0.0,無,
士林區,土地,百齡段六小段218地號,0.02,都市：其他:道路用地(公共設施用地)。47/11/10,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,927,0,,0.0,0,僅土地買賣,RPSNMLRJQHIGFEA48EA,0.0,0.0,0.0,無,0011
大安區,車位,臺北市大安區大安路一段２０４號地下一層,1.73,住,,,1120805,土地1建物1車位1,地下一層,十二層,其他,一般零售業（甲組）,鋼筋混凝土造,0971028,16.75,0,0,0,無,有,1200000,,塔式車位,16.75,1200000,僅車位交易；,RPXOMLLKQHIGFFA58DA,0.0,0.0,0.0,有,0012
大同區,土地,文昌段二小段70地號,2.79,住,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,180000,64516,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLRJQHIGFBA18DA,0.0,0.0,0.0,無,
信義區,土地,和段三小段254-1地號,10.38,都市：其他:道路用地(公共設施用地)。51/9/1,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1374299,132399,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPTNMLSLPHIGFDA58DA,0.0,0.0,0.0,無,0013
大安區,土地,學府段一小段325地號,5.38,都市：其他:道路用地(公共設施用地)。62/9/14,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1576846,293094,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPQNMLSLPHIGFFA48DA,0.0,0.0,0.0,無,0014
文山區,房地(土地+建物),臺北市文山區萬盛街８９之６號七樓,11.24,住,,,1120801,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050816,67.69999999999999,2,2,1,有,有,18000000,265879,,0.0,0,夾層；,RPPNMLOKQHIGFAA57EA,33.9,8.15,0.0,有,0015
信義區,土地,永吉段三小段414地號,46.12,都市：其他:道路用地(公共設施用地)。51/2/2,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4817767,104462,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPPNMLNJQHIGFDA57DA,0.0,0.0,0.0,無,0016
大安區,土地,通化段六小段310地號,0.57,都市：其他:道路用地(公共設施用地)。61/4/24,,,1120802,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,71710,0,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPUNMLSLPHIGFFA88DA,0.0,0.0,0.0,無,0017
大安區,土地,通化段六小段310地號,1.15,都市：其他:道路用地(公共設施用地)。61/4/24,,,1120802,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,143417,124710,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPWNMLSLPHIGFFA09DA,0.0,0.0,0.0,無,0017
文山區,房地(土地+建物),臺北市文山區興隆路二段７８巷２號四樓,7.25,商,,,1120804,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0580617,17.37,3,2,1,有,無,1500000,86356,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLTJQHIGFAA87DA,17.37,0.0,0.0,無,
士林區,土地,天母段一小段60-1地號,60.0,都市：其他:道路用地(公共設施用地)。66/1/12,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6480000,108000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQNMLTJQHIGFEA38DA,0.0,0.0,0.0,無,
士林區,土地,芝山段一小段186-1地號,101.12,都市：其他:道路用地(公共設施用地)。,,,1120807,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10010880,99000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPQNMLNJQHIGFEA77DA,0.0,0.0,0.0,無,0019
萬華區,房地(土地+建物),臺北市萬華區東園街３５巷４６號二樓,27.75,住,,,1120804,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640917,89.01,3,2,1,有,無,5310000,59656,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLOKQHIGFBA08DA,84.94,0.0,4.07,無,
內湖區,土地,康寧段四小段204-1地號,1.35,都市：其他:道路用地(公共設施用地)。64/7/8,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30722,22757,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPRNMLSLPHIGFCA28DA,0.0,0.0,0.0,無,
士林區,土地,芝山段一小段268-7地號,269.6,都市：其他:道路用地(公共設施用地)。65/11/23,,,1120807,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,26690400,99000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPRNMLNJQHIGFEA87DA,0.0,0.0,0.0,無,
文山區,土地,興隆段三小段75-2地號,30.0,都市：其他:道路用地(公共設施用地)。60/10/12,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,882000,29400,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQOMLLKQHIGFAA37DA,0.0,0.0,0.0,無,
中山區,土地,榮星段二小段317地號,45.17,都市：其他:道路用地(公共設施用地)。62/8/20,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4552800,100793,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPUNMLSLPHIGFCA58DA,0.0,0.0,0.0,無,
北投區,土地,文林段四小段882地號,30.8,都市：其他:道路用地(公共設施用地)。59/7/4,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2377543,77193,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPSNMLNJQHIGFEA97DA,0.0,0.0,0.0,無,0020
北投區,土地,關渡段一小段526-1地號,80.51,都市：其他:堤防用地(公共設施用地)。80/11/2,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,451503,5608,,0.0,0,包含公共設施保留地用地；協議價購；,RPUOMLLKQHIGFEA18DA,0.0,0.0,0.0,無,0021
北投區,車位,永興路二段３６號二樓等共有部分,0.03,住,,,1120807,土地1建物1車位1,,,其他,,,,10.05,0,0,0,無,有,600000,,其他,0.0,600000,僅車位交易；,RPWNMLKKLHIGFEA77EA,0.0,0.0,0.0,有,0022
萬華區,土地,雙園段三小段680地號,127.0,都市：其他:道路用地(公共設施用地)。56/8/25,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4029710,31730,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPWOMLLKQHIGFBA08DA,0.0,0.0,0.0,無,
士林區,土地,芝山段一小段186-1地號,101.12,都市：其他:道路用地(公共設施用地)。,,,1120807,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10010880,99000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPPNMLNJQHIGFEA67DA,0.0,0.0,0.0,無,0019
信義區,車位,臺北市信義區基隆路二段１５１之９號地下室,1.62,商,,,1120801,土地5建物1車位1,地下層,十二層,其他,防空避難室兼停車場,鋼筋混凝土造,0701117,21.48,0,0,0,無,有,2500000,,坡道平面,0.0,2500000,僅車位交易；,RPQNMLKKQHIGFDA47DA,0.0,0.0,0.0,有,0024
內湖區,房地(土地+建物),臺北市內湖區成功路四段１８２巷８弄１１號五樓,19.37,商,,,1120803,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720709,101.77999999999999,3,2,2,有,無,10190000,100118,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；瑕疵物件；具重建或重劃、都更等效益；,RPVOMLOKQHIGFCA38DA,91.83,0.0,5.49,無,0025
萬華區,土地,直興段二小段45-2地號,6.0,都市：其他:道路用地(公共設施用地)。60/8/24,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,238920,39820,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPSNMLSLPHIGFBA28DA,0.0,0.0,0.0,無,
萬華區,土地,華中段二小段575地號,43.98,都市：其他:道路用地(公共設施用地)。56/8/25,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2203482,50102,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPRPMLLKQHIGFBA67DA,0.0,0.0,0.0,無,
士林區,土地,富安段三小段314地號,5.35,,,,1120805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,322000,60187,,0.0,0,包含公共設施保留地用地；,RPUNMLSJQHIGFEA68DA,0.0,0.0,0.0,無,0026
中山區,土地,德惠段二小段754地號,94.25,都市：其他:道路用地(公共設施用地)。56/10/5,,,1120807,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9633138,102208,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPVNMLOJQHIGFCA18DA,0.0,0.0,0.0,無,0027
內湖區,土地,碧湖段四小段553地號,134.5,都市：其他:道路用地(公共設施用地)。,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10894500,81000,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPPOMLLKQHIGFCA47DA,0.0,0.0,0.0,無,
中山區,土地,榮星段二小段640-1地號,41.21,都市：其他:道路用地(公共設施用地)。62/8/20,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4617530,112049,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPOPMLLKQHIGFCA47DA,0.0,0.0,0.0,無,0028
大安區,土地,通化段六小段310地號,1.15,都市：其他:道路用地(公共設施用地)。61/4/24,,,1120802,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,143417,124710,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPOPMLSLPHIGFFA48DA,0.0,0.0,0.0,無,0017
大安區,土地,復興段一小段131地號,6.92,都市：其他:道路用地(公共設施用地)。48/3/13,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,605656,87523,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQOMLLKQHIGFFA87DA,0.0,0.0,0.0,無,0030
大同區,土地,雙連段一小段485地號,18.0,都市：其他:道路用地(公共設施用地)。47/12/27,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1339200,74400,,0.0,0,112年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPUNMLTJQHIGFBA48DA,0.0,0.0,0.0,無,
大安區,車位,臺北市大安區瑞安街２３巷７號二樓,2.0,住,,,1120811,土地1建物1車位1,二層，三層，四層,十一層,其他,停車空間,鋼筋混凝土造,0870708,13.91,0,0,0,無,有,880000,,其他,13.9,880000,僅車位交易；,RPSNMLPKQHIGFFA38DA,0.0,0.0,0.0,有,0031
南港區,土地,玉成段二小段250-10地號,44.33,工,,,1120807,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16763500,378152,,0.0,0,,RPVNMLNKPHIGFDA28EA,0.0,0.0,0.0,無,0007
大同區,房地(土地+建物),臺北市大同區大龍街９１巷１２號十三樓之３,5.12,住,,,1120804,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110422,36.19,1,1,1,有,有,8700000,240398,,0.0,0,,RPQNMLQKQHIGFBA97EA,21.2,0.0,2.78,有,
